track 1;
0 0.711476 0.355271;
8 0.711476 0.351367;
0 0.709397 0.351367;
8 0.709397 0.345511;
0 0.707318 0.345511;
9 0.707318 0.341607;
0 0.701081 0.341607;
7 0.701081 0.333799;
0 0.696923 0.333799;
8 0.696923 0.329895;
0 0.690686 0.329895;
8 0.690686 0.325991;
0 0.688607 0.325991;
11 0.688607 0.322087;
0 0.684449 0.322087;
4 0.684449 0.318183;
0 0.680291 0.318183;
8 0.680291 0.314278;
0 0.674054 0.314278;
8 0.674054 0.310374;
0 0.671975 0.310374;
11 0.671975 0.30647;
0 0.667817 0.30647;
5 0.667817 0.304518;
0 0.665738 0.304518;
9 0.665738 0.298662;
0 0.66158 0.298662;
7 0.66158 0.294758;
0 0.657422 0.294758;
19 0.657422 0.284998;
0 0.638711 0.284998;
7 0.638711 0.281094;
0 0.630395 0.281094;
6 0.630395 0.27719;
0 0.617921 0.27719;
8 0.617921 0.271334;
0 0.605447 0.271334;
8 0.605447 0.265477;
0 0.592973 0.265477;
8 0.592973 0.259621;
0 0.588815 0.259621;
8 0.588815 0.259621;
0 0.582578 0.259621;
8 0.582578 0.255717;
0 0.574262 0.255717;
8 0.574262 0.253765;
0 0.563867 0.253765;
9 0.563867 0.251813;
0 0.555551 0.251813;
6 0.555551 0.249861;
0 0.545156 0.249861;
8 0.545156 0.245957;
0 0.534761 0.245957;
9 0.534761 0.242053;
0 0.522287 0.242053;
8 0.522287 0.240101;
0 0.509813 0.240101;
7 0.509813 0.238149;
0 0.497339 0.238149;
8 0.497339 0.238149;
0 0.480707 0.238149;
10 0.480707 0.238149;
0 0.472391 0.238149;
6 0.472391 0.238149;
0 0.459917 0.238149;
8 0.459917 0.238149;
0 0.445364 0.238149;
8 0.445364 0.238149;
0 0.430811 0.238149;
16 0.430811 0.238149;
0 0.424574 0.238149;
0 0.424574 0.238149;
0 0.414178 0.238149;
9 0.414178 0.238149;
0 0.407941 0.238149;
7 0.407941 0.240101;
0 0.399625 0.240101;
12 0.399625 0.244005;
0 0.38923 0.244005;
4 0.38923 0.245957;
0 0.387151 0.245957;
10 0.387151 0.249861;
0 0.378835 0.249861;
6 0.378835 0.255717;
0 0.366361 0.255717;
8 0.366361 0.261573;
0 0.358045 0.261573;
12 0.358045 0.267429;
0 0.34765 0.267429;
4 0.34765 0.27719;
0 0.339334 0.27719;
8 0.339334 0.283046;
0 0.328939 0.283046;
8 0.328939 0.292806;
0 0.320623 0.292806;
8 0.320623 0.302566;
0 0.312307 0.302566;
8 0.312307 0.312326;
0 0.30607 0.312326;
8 0.30607 0.324039;
0 0.295675 0.324039;
8 0.295675 0.333799;
0 0.289438 0.333799;
9 0.289438 0.341607;
0 0.283201 0.341607;
10 0.283201 0.355271;
0 0.276964 0.355271;
5 0.276964 0.368936;
0 0.268648 0.368936;
8 0.268648 0.384552;
0 0.262411 0.384552;
10 0.262411 0.396264;
0 0.258253 0.396264;
6 0.258253 0.409928;
0 0.252016 0.409928;
8 0.252016 0.423593;
0 0.249937 0.423593;
8 0.249937 0.435305;
0 0.249937 0.435305;
12 0.249937 0.450921;
0 0.249937 0.450921;
4 0.249937 0.462634;
0 0.249937 0.462634;
9 0.249937 0.476298;
0 0.249937 0.476298;
7 0.249937 0.489962;
0 0.249937 0.489962;
12 0.249937 0.501674;
